artist,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track,track_id,track_pop
Zac Brown Band,1258654.0,"contemporary country,country,country road,modern country rock",0.75,6yJCxee7QumYr820xdIsjo,278.69333,5.03293,6.0,1.0,-7.986,1.0,0.887,2014-02-19,266.81469,139.976,4.0,0.584,Sweet Annie,2PEkXkHKvk4bnC1TgTDCDM,55.0
Jon Pardi,604273.0,"contemporary country,country,country road,modern country rock",0.71,4MoAOfV4ROWofLG3a3hhBN,212.42667,1.05365,9.0,0.392,-4.972,1.0,0.445,2014-02-19,198.65832,163.003,4.0,0.985,Up All Night,3yYTDppf1ycYtpPuX46xQh,55.0
Zedd Featuring Hayley Williams,,,,2qxJFvFYMEDqd7ui6kSAcq,217.34667,0.4263,8.0,0.395,-3.109,1.0,0.646,2014-02-26,210.57016,127.961,4.0,1.0,Stay The Night,2QtJA4gbwe1AcanB2p21aP,60.0
Macklemore ,,,,,,,,,,,,2014-02-26,,,,,White Walls,,
 Ryan Lewis Featuring ScHoolboy Q ,,,,,,,,,,,,2014-02-26,,,,,White Walls,,
 Hollis,,,,,,,,,,,,2014-02-26,,,,,White Walls,,
Sevyn Streeter Featuring Chris Brown,,,,,,,,,,,,2014-02-26,,,,,It Won't Stop,,
Buck 22 Featuring Billy Ray Cyrus,,,,,,,,,,,,2014-02-26,,,,,Achy Breaky 2,,
Mariah Carey,,,,,,,,,,,,2014-02-26,,,,,You're Mine (Eternal),,
Ellie Goulding,,,,,,,,,,,,2014-02-26,,,,,Explosions,,
Capital Cities,,,,,,,,,,,,2014-03-05,,,,,Safe And Sound,,
The Neighbourhood,,,,,,,,,,,,2014-03-05,,,,,Sweater Weather,,
David Nail,,,,,,,,,,,,2014-03-05,,,,,Whatever She's Got,,
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa ",,,,,,,,,,,,2014-03-05,,,,,23,,
 Juicy J,,,,,,,,,,,,2014-03-05,,,,,23,,
Drake,,,,,,,,,,,,2014-03-05,,,,,Worst Behavior,,
Calvin Harris Featuring Ayah Marar,,,,,,,,,,,,2014-03-05,,,,,Thinking About You,,
Cole Swindell,,,,,,,,,,,,2014-03-12,,,,,Chillin' It,,
Eminem,,,,,,,,,,,,2014-03-12,,,,,Rap God,,
The Fray,,,,,,,,,,,,2014-03-12,,,,,Love Don't Die,,
Tegan And Sara Featuring The Lonely Island,,,,,,,,,,,,2014-03-12,,,,,Everything Is AWESOME!!!,,
Danielle Bradbery,121730.0,"canadian contemporary country,contemporary country,country",0.62,5iqStkZi6QmG8sgQZQrfGN,209.45333,0.23796,6.0,0.856,-4.763,1.0,0.703,2014-03-12,202.12971,155.71,4.0,0.651,The Heart Of Dixie,5FgLLtrDU4Ex2ezB9anpH5,43.0
Eric Paslay,263663.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.59,4TONBKcqVR1LmPdfJxvkMU,167.21333,0.16816,9.0,0.616,-4.188,1.0,0.557,2014-03-12,167.21333,120.009,4.0,0.682,Friday Night,66rVt7PbwyKlu6CK6rxyAi,62.0
ScHoolboy Q Featuring Kendrick Lamar,,,,,,,,,,,,2014-03-12,,,,,Collard Greens,,
Lady Gaga Featuring R. Kelly,,,,,,,,,,,,2014-03-12,,,,,Do What U Want,,
AWOLNATION,1232385.0,"indie pop,la indie,modern alternative rock,modern rock,rock,stomp pop",0.68,4njdEjTnLfcGImKZu1iSrz,259.1024,0.0,1.0,0.733,-9.582,1.0,0.443,2014-03-19,241.62685,119.038,4.0,1.0,Sail,5xhQChGGhKLWqBqX4XhtYE,72.0
Rick Ross Featuring Kanye West ,,,,,,,,,,,,2014-03-19,,,,,Sanctified,,
 Big Sean,,,,,,,,,,,,2014-03-19,,,,,Sanctified,,
Drake,29658857.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,224.01333,0.21469,1.0,0.0,-8.363,1.0,0.011,2014-03-19,224.01334,120.064,4.0,1.0,The Language,3Qu5bTS5AvgS0TpeGhQyfc,58.0
U2,3931174.0,"irish rock,permanent wave,rock",0.81,51Blml2LZPmy7TTiAg47vQ,221.2,0.91687,8.0,0.314,-8.528,0.0,0.376,2014-03-19,206.35574,121.04,4.0,0.835,Ordinary Love,4lYemy3VZzRUrFALAu1jFG,47.0
Rick Ross Featuring Jay-Z,,,,,,,,,,,,2014-03-19,,,,,The Devil Is A Lie,,
Lorde,3860032.0,"art pop,dance pop,electropop,metropopolis,pop",0.79,163tK9Wjr9P9DmM0AVK7lm,210.73755,0.06939,1.0,0.109,-8.781,1.0,0.288,2014-03-19,206.33252,143.931,4.0,0.729,Glory And Gore,60jI0JgMLLj1VggHJVhtRs,62.0
Wisin Featuring Jennifer Lopez ,,,,,,,,,,,,2014-03-19,,,,,Adrenalina,,
 Ricky Martin,,,,,,,,,,,,2014-03-19,,,,,Adrenalina,,
Katy Perry,11631912.0,"dance pop,pop,post-teen pop",0.83,6jJ0s89eD6GaHleKKya26X,228.87891,0.1922,7.0,0.235,-4.862,1.0,0.4,2014-03-19,220.89723,128.861,4.0,1.0,Unconditionally,4fwbGKNExPtPHbor1TBSY4,70.0
Daughtry,1000521.0,"alternative metal,neo mellow,pop rock,post-grunge",0.68,5P5FTygHyx2G57oszR3Wot,266.96,0.19778,0.0,0.0,-5.711,1.0,0.258,2014-03-19,248.3258,105.987,4.0,0.959,Waiting For Superman,4AU7z13HYmPMetlWbq1mys,58.0
The 1975,2626094.0,"modern alternative rock,modern rock,nu gaze,pop,shiver pop",0.81,3mIj9lX2MWuHmhNCA7LSCW,224.64,0.12735,11.0,0.741,-4.341,1.0,0.65,2014-03-19,219.24281,100.043,4.0,1.0,Chocolate,44Ljlpy44mHvLJxcYUvTK0,64.0
Soko,154394.0,,0.53,4Q3f2YYH4gQxWFS3WY5G3j,161.41333,0.20313,7.0,0.656,-16.492,1.0,0.665,2014-03-26,151.0458,143.456,4.0,1.0,We Might Be Dead By Tomorrow,2yxpMD9Fopz8FZEDSHRYy8,49.0
Robin Thicke Featuring T.I. + Pharrell,,,,,,,,,,,,2014-03-26,,,,,Blurred Lines,,
Luke Bryan,3416859.0,"contemporary country,country,country road",0.78,0BvkDsjIUla7X0k6CSWh1I,202.62667,0.2317,8.0,0.996,-7.439,1.0,0.825,2014-04-02,195.04762,77.961,4.0,0.877,Drink A Beer,1PoGWZbJPGmViVi7CYbDUK,61.0
Jennifer Lopez Featuring French Montana,,,,,,,,,,,,2014-04-02,,,,,I Luh Ya Papi,,
Lady Antebellum,2251182.0,"contemporary country,country,country dawn,country road,neo mellow",0.71,32WkQRZEVKSzVAAYqukAEA,183.06667,0.20898,0.0,0.785,-4.694,1.0,0.675,2014-04-02,174.38766,100.013,4.0,0.864,Compass,2ubncjpv82GY5uES29L5ik,49.0
John Newman,509217.0,pop,0.7,34v5MVKeQnIo0CWYMbbrPf,239.89415,9.27637,2.0,0.715,-4.814,0.0,0.571,2014-04-02,227.36399,126.03,4.0,0.992,Love Me Again,5VSCgNlSmTV2Yq5lB40Eaw,62.0
K. Michelle,,,,,,,,,,,,2014-04-02,,,,,Can't Raise A Man,,
Sara Bareilles,1002203.0,"acoustic pop,dance pop,folk-pop,hollywood,lilith,neo mellow,pop,pop rock,post-teen pop",0.73,2Sqr0DXoaYABbjBo9HaMkM,220.57333,0.64866,10.0,0.004,-3.838,0.0,0.134,2014-04-09,215.60889,185.063,4.0,1.0,Brave,6Uy6K3KdmUdAfelUp0SeXn,67.0
Miley Cyrus,7279411.0,"dance pop,pop,post-teen pop",0.81,5YGY8feqx7naU7z4HrwZM6,221.36,0.16789,5.0,0.323,-6.262,1.0,0.487,2014-04-09,210.75592,119.964,4.0,1.0,Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,72.0
Lady Gaga,6057214.0,"dance pop,pop",0.92,1HY2Jd0NmPuamShAr6KMms,232.66667,0.09723,5.0,0.35,-3.468,0.0,0.503,2014-04-09,226.9054,110.008,4.0,1.0,G.U.Y.,5ve8saw5u0CbP9fcyNzmxN,63.0
Scotty McCreery,392372.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.65,6ZV6lGY0prbqpTD0Md8i29,226.32,0.16839,9.0,0.493,-6.464,1.0,0.548,2014-04-09,217.82639,169.987,4.0,0.985,See You Tonight,54RCDE1TAewECyX4WDUVm1,57.0
Katy Perry,11631912.0,"dance pop,pop,post-teen pop",0.83,6jJ0s89eD6GaHleKKya26X,223.54599,0.36712,7.0,0.346,-4.821,0.0,0.399,2014-04-16,218.12245,179.984,4.0,1.0,Roar,6F5c58TMEs1byxUstkzVeM,74.0
T-Pain Featuring B.o.B,,,,,,,,,,,,2014-04-16,,,,,Up Down (Do This All Day),,
Kristen Bell ,22258.0,"disney,hollywood,movie tunes",0.66,2kHxkdiKCSnHMkhIgFBZaI,124.73333,0.18073,6.0,0.736,-6.308,0.0,0.742,2014-04-16,118.48562,100.033,4.0,1.0,Love Is An Open Door,3IPnBzGRMg6BfViFxxa0Gq,66.0
 Santino Fontana,,,,,,,,,,,,2014-04-16,,,,,Love Is An Open Door,,
Ellie Goulding,5587581.0,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.83,0X2BH1fck6amBIoJhDVmmJ,212.12526,3.1405,5.0,0.0,-6.013,1.0,0.0,2014-04-16,212.12526,127.905,4.0,1.0,Beating Heart,74ShSWUO9MyQ12K5b9ToCf,50.0
Bruno Mars,18304120.0,"pop,post-teen pop",0.9,0du5cEVh5yTK9QJze8zA0C,228.72,0.11029,6.0,0.23,-4.951,0.0,0.394,2014-04-16,223.93905,125.986,4.0,0.709,Young Girls,3G5iN5QBqMeXx3uZPy8tgB,67.0
Thompson Square,251986.0,"canadian contemporary country,contemporary country,country,country dawn,country road,modern country rock",0.56,0Bvs8yPjrQSbmVIRqSg1Sp,178.46667,1.05619,8.0,0.733,-3.703,1.0,0.657,2014-04-16,170.0049,115.983,4.0,0.572,Everything I Shouldn't Be Thinking About,3vYQTgxQWWM4VIDHi7qhQ5,44.0
YG Featuring Jeezy ,,,,,,,,,,,,2014-04-23,,,,,My Hitta,,
 Rich Homie Quan,,,,,,,,,,,,2014-04-23,,,,,My Hitta,,
Jason Aldean,2648631.0,"contemporary country,country,country road",0.78,3FfvYsEGaIb52QPXhg4DcH,171.12,0.15088,0.0,0.494,-5.126,1.0,0.509,2014-04-23,157.94794,113.063,4.0,1.0,When She Says Baby,3gVRILe7XCyNakb6sy5umX,59.0
Tim McGraw,2499518.0,"contemporary country,country,country road",0.75,6roFdX1y5BYSbp60OTJWMd,261.34667,2.47293,6.0,0.63,-4.388,1.0,0.64,2014-04-23,240.01887,76.965,4.0,1.0,Lookin' For That Girl,4tK5L8FD5Gl1dSwhzXuU6K,39.0
Miley Cyrus,7279411.0,"dance pop,pop,post-teen pop",0.81,5YGY8feqx7naU7z4HrwZM6,278.74667,0.16249,0.0,0.341,-5.407,1.0,0.486,2014-04-23,270.0771,119.759,4.0,1.0,Adore You,5AnCLGg35ziFOloEnXK4uu,70.0
Cash Cash Featuring Bebe Rexha,,,,,,,,,,,,2014-04-23,,,,,Take Me Home,,
Romeo Santos Featuring Drake,,,,,,,,,,,,2014-04-23,,,,,Odio,,
Arctic Monkeys,6946184.0,"garage rock,indie rock,modern rock,permanent wave,rock,sheffield indie",0.85,7Ln80lUS6He07XvHI8qqHH,272.3941,0.26943,5.0,0.074,-7.596,1.0,0.094,2014-04-30,268.17887,85.03,4.0,0.642,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,82.0
