artist,track,mean_rank,occurence,top10_occurence,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track_id,track_pop
Charlie Puth,How Long,33.78260869565217,23,0,5809074.0,"dance pop,pop,post-teen pop,viral pop",0.84,6VuMaDnrHyPL1p4EHjYLi7,200.85333,2.36263,1.0,0.502,-5.253,0.0,0.609,2018-03-28,195.1463,109.974,4.0,1.0,6wmAHw1szh5RCKSRjiXhPe,78.0
Charlie Puth,The Way I Am,76.28571428571429,7,0,5809080.0,"dance pop,pop,post-teen pop,viral pop",0.84,6VuMaDnrHyPL1p4EHjYLi7,186.08,0.08109,10.0,0.237,-5.658,0.0,0.399,2018-10-17,179.04907,114.966,4.0,1.0,6qNALlmZa1ESnCxJmXE1K9,77.0
Charlie Puth Featuring Kehlani,Done For Me,63.333333333333336,9,0,,,,,,,,,,,,2018-07-11,,,,,,
Cheat Codes Featuring Demi Lovato,No Promises,55.94736842105263,19,0,905003.0,"dance pop,edm,pop,post-teen pop,tropical house",0.81,7DMveApC7UnC2NPfPvlHSU,222.78667,0.25551,10.0,0.568,-6.669,1.0,0.488,2017-11-01,211.34222,112.961,4.0,1.0,5lNuqFVMca4vPupY10cH0J,69.0
Childish Gambino,Feels Like Summer,73.5,2,0,4097231.0,"hip hop,pop rap,rap",0.82,73sIBHcqh3Z3NyqHKZ7FOL,297.40449,0.12762,7.0,0.79,-8.214,1.0,0.659,2018-09-19,264.71329,165.728,4.0,0.993,7p4vHnYXkxlzvfePJVpcTr,78.0
Childish Gambino,Redbone,21.823529411764707,17,0,,,,,,,,,,,,2017-10-18,,,,,,
Childish Gambino,Summertime Magic,78.4,5,0,4097231.0,"hip hop,pop rap,rap",0.82,73sIBHcqh3Z3NyqHKZ7FOL,213.6,0.0,0.0,0.535,-7.374,1.0,0.503,2018-09-12,210.2741,100.01,4.0,1.0,4j3GWI86JvSaF0BLdmgcfF,76.0
Childish Gambino,This Is America,38.64705882352941,17,5,4097228.0,"hip hop,pop rap,rap",0.82,73sIBHcqh3Z3NyqHKZ7FOL,225.77333,0.4693,5.0,0.483,-6.159,1.0,0.345,2018-09-05,213.56553,120.024,4.0,0.755,0b9oOr2ZgvyQu88wzixux9,80.0
"China Anne McClain, Thomas Doherty & Dylan Playfair",What's My Name,76.66666666666667,3,0,,,,,,,,,,,,,,,,,,
Chloe Kohanski,Total Eclipse Of The Heart,99.0,1,0,9611.0,deep talent show,0.36,0miRKHMzKK1xStb6AjWo7k,181.79478,0.3478,5.0,0.461,-5.221,1.0,0.502,2017-12-13,174.01034,133.954,3.0,0.24,1pFkLWesh2zpoFTs2g4SFt,31.0
Chris Brown,Privacy,76.27272727272727,11,0,7572314.0,"dance pop,pop,pop rap,r&b,rap",0.89,7bXgB6jMjp9ATFy66eO08Z,220.96395,0.221,0.0,0.29,-7.741,1.0,0.382,2017-09-06,207.18585,97.092,4.0,1.0,2Vf2Pflg5rTWSvSCK4qq4A,67.0
Chris Brown,Questions,88.07692307692308,13,0,7572314.0,"dance pop,pop,pop rap,r&b,rap",0.89,7bXgB6jMjp9ATFy66eO08Z,129.47782,0.1683,10.0,0.21,-6.335,0.0,0.38,2017-12-06,126.30494,105.803,4.0,1.0,5XQMr19TL7Mfksq9zihbOu,70.0
Chris Brown,Tempo,92.5,4,0,7572321.0,"dance pop,pop,pop rap,r&b,rap",0.89,7bXgB6jMjp9ATFy66eO08Z,218.74449,0.22045,10.0,0.0,-7.205,1.0,0.021,2018-04-11,211.74277,120.959,4.0,1.0,0709StHzSeXpdj2zmqF2o2,66.0
Chris Brown Featuring Future & Young Thug,High End,91.0,2,0,,,,,,,,,,,,,,,,,,
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,57.89473684210526,19,0,,,,,,,,,,,,,,,,,,
Chris Janson,Drunk Girl,87.7,10,0,,,,,,,,,,,,2018-11-07,,,,,,
Chris Janson,Fix A Drink,81.85714285714286,14,0,115749.0,"canadian contemporary country,contemporary country,country road,lift kit,modern country rock,redneck",0.64,60gmlHZmT16wiO9GiXKYK9,188.93333,0.18567,1.0,0.52,-5.013,1.0,0.566,2017-12-13,177.30757,158.05,4.0,1.0,0s6OWiWGuiCcm1Muzch5A8,61.0
Chris Lane,For Her,95.5,4,0,176688.0,"canadian contemporary country,contemporary country",0.67,68abRTdO4meYReMWHvBYb0,211.22667,0.18621,6.0,0.766,-4.324,1.0,0.758,2017-09-06,197.96753,150.007,4.0,1.0,19yTqpHTUrw7mOcRDvXYzn,56.0
Chris Lane Featuring Tori Kelly,Take Back Home Girl,77.33333333333333,12,0,,,,,,,,,,,,2018-08-29,,,,,,
Chris Stapleton,Broken Halos,72.21052631578948,19,0,,,,,,,,,,,,2018-04-18,,,,,,
Chris Stapleton,Millionaire,96.0,2,0,1100170.0,contemporary country,0.77,4YLtscXsxbVgi031ovDDdh,210.13333,0.49937,10.0,1.0,-9.666,1.0,0.705,2018-11-28,200.39982,142.635,4.0,0.851,68JS5SFTnW5Yv9Vzw81Jf0,68.0
Chris Young,Hangin' On,79.91666666666667,12,0,1219048.0,"contemporary country,country,country road,modern country rock",0.72,4BYxqVkZyFjtik7crYLg5Q,185.44,2.47293,8.0,0.672,-4.774,1.0,0.622,2018-11-28,175.19456,156.034,4.0,0.787,6CyJlVAEFlNdpggOLanytL,73.0
Chris Young,Losing Sleep,73.15789473684211,19,0,,,,,,,,,,,,2018-02-14,,,,,,
Ciara,Level Up,71.0,6,0,3450991.0,"dance pop,hip hop,hip pop,pop,pop rap,post-teen pop,r&b,rap,urban contemporary",0.75,2NdeV5rLm47xAvogXrYhJX,204.15048,0.4527,1.0,0.694,-4.666,1.0,0.498,2018-09-05,195.94739,152.914,4.0,1.0,5ubwXXOsH9bUhZsQ0Cybha,76.0
City Girls Featuring Cardi B,Twerk,92.0,1,0,52246.0,"deep pop r&b,hip pop,pop,trap queen",0.68,37hAfseJWi0G3Scife12Il,166.47642,0.13515,4.0,0.32,-4.006,0.0,0.272,2018-11-28,159.23084,190.089,4.0,1.0,4DyBx5MYoq8RsU33cEAIxT,73.0
Clean Bandit Featuring Demi Lovato,Solo,74.92307692307692,13,0,,,,,,,,,,,,2018-10-03,,,,,,
Clean Bandit Featuring Julia Michaels,I Miss You,92.0,1,0,1846180.0,"dance pop,edm,pop,post-teen pop,tropical house,uk funky",0.85,6MDME20pz9RveH9rEXvrOM,205.7478,0.0,3.0,0.262,-6.318,1.0,0.429,2018-01-17,197.64825,105.076,4.0,1.0,4mIDiO3YkbRedskD4m0Onl,73.0
Cole Swindell,Break Up In The End,74.6470588235294,17,0,,,,,,,,,,,,2018-11-07,,,,,,
Cole Swindell,Flatliner,69.36363636363636,11,0,975327.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.71,1mfDfLsMxYcOOZkzBxvSVW,177.06667,0.0,0.0,0.94,-3.295,1.0,0.709,2017-09-06,171.27039,114.995,4.0,0.988,0WyFpxYlBCgH1gMXd26OOr,64.0
DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,Don't Quit,68.0,1,0,,,,,,,,,,,,,,,,,,
DJ Khaled Featuring Beyonce & JAY Z,Shining,98.0,1,0,,,,,,,,,,,,,,,,,,
DJ Khaled Featuring Drake,To The Max,68.0,3,0,,,,,,,,,,,,2017-07-12,,,,,,
"DJ Khaled Featuring JAY Z, Future & B",Top Off,64.71428571428571,7,0,,,,,,,,,,,,,,,,,,
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,30.8,15,1,,,,,,,,,,,,,,,,,,
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,14.4375,16,8,,,,,,,,,,,,,,,,,,
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,12.80952380952381,21,13,,,,,,,,,,,,,,,,,,
"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",On Everything,88.0,1,0,,,,,,,,,,,,,,,,,,
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,19.25,8,0,,,,,,,,,,,,,,,,,,
Daddy Yankee,Dura,58.80952380952381,21,0,9564619.0,"latin,latin hip hop,pop,reggaeton,tropical",0.89,4VMYDCV2IEDYJArk749S6m,242.16,0.45274,1.0,0.704,-3.035,1.0,0.746,2018-07-04,235.0498,94.981,4.0,1.0,6U2NuJILEOEpW2tVCuqKHb,81.0
Dan + Shay,How Not To,75.5,4,0,,,,,,,,,,,,2017-07-19,,,,,,
Dan + Shay,Speechless,62.81818181818182,11,0,622128.0,contemporary country,0.78,7z5WFjZAIYejWy0NI5lv4T,212.74535,0.2215,1.0,0.595,-5.948,1.0,0.655,2018-11-28,201.33442,136.033,4.0,0.588,7q7jyVU0f0hnod8tsaUmxg,78.0
Dan + Shay,Tequila,44.810810810810814,37,0,622128.0,contemporary country,0.78,7z5WFjZAIYejWy0NI5lv4T,195.98667,0.1741,11.0,0.484,-5.756,1.0,0.639,2018-11-28,179.24063,86.131,4.0,0.981,7Il2yWQmsqKgSkLQvHTPUI,77.0
Daniel Caesar Featuring H.E.R.,Best Part,84.88888888888889,18,0,976301.0,"canadian contemporary r&b,indie r&b,pop",0.8,20wkVLutqVOYrc0kxFs7rA,209.83116,0.81805,7.0,0.165,-10.209,1.0,0.29,2018-11-28,205.06122,75.24,4.0,1.0,1RMJOxR6GRPsBHL8qeC2ux,81.0
Daniel Caesar Featuring Kali Uchis,Get You,96.0,6,0,,,,,,,,,,,,2018-04-25,,,,,,
Darius Rucker,For The First Time,82.7,10,0,,,,,,,,,,,,2018-06-06,,,,,,
Darius Rucker,If I Told You,74.0,3,0,,,,,,,,,,,,2017-07-12,,,,,,
David Guetta Featuring Justin Bieber,2U,37.90909090909091,11,0,16751803.0,"dance pop,edm,pop",0.91,1Cs0zKBU1kc0i8ypK3B9ai,194.90667,0.51098,8.0,0.713,-5.862,0.0,0.678,2017-09-06,183.33315,144.971,4.0,1.0,762UXiwEHYY97VL45sAUPR,67.0
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,78.6923076923077,13,0,,,,,,,,,,,,,,,,,,
DeJ Loaf,No Fear,100.0,1,0,,,,,,,,,,,,2017-09-20,,,,,,
Dean Lewis,Be Alright,85.0,4,0,209454.0,"australian pop,pop",0.83,3QSQFmccmX81fWCUSPTS7y,196.37333,4.49306,11.0,0.633,-6.319,1.0,0.65,2018-11-28,188.87111,126.684,4.0,0.486,3EPXxR3ImUwfayaurPi3cm,93.0
Demi Lovato,Sober,53.666666666666664,3,0,11735027.0,"dance pop,pop,post-teen pop",0.87,6S2OmqARrzebs0tKUEyXyp,197.89333,0.24381,1.0,0.644,-10.413,1.0,0.656,2018-08-08,188.60408,170.22,3.0,0.347,0STK94RxUulYqWzwFlyAb5,80.0
Demi Lovato,Sorry Not Sorry,23.02857142857143,35,6,,,,,,,,,,,,2018-03-21,,,,,,
Demi Lovato,Tell Me You Love Me,74.26315789473684,19,0,,,,,,,,,,,,2018-04-18,,,,,,
Dennis Lloyd,Nevermind,93.0,4,0,,,,,,,,,,,,2018-08-22,,,,,,
Derez De'Shon,Hardaway,76.0,11,0,,,,,,,,,,,,2018-04-25,,,,,,
Descendants 2 Cast,It's Goin' Down,87.5,4,0,,,,,,,,,,,,2017-08-30,,,,,,
Devin Dawson,All On Me,78.52631578947368,19,0,,,,,,,,,,,,2018-04-18,,,,,,
Dierks Bentley,Black,86.0,1,0,1577497.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.73,7x8nK0m0cP2ksQf0mjWdPS,211.16,1.01093,1.0,0.487,-6.548,1.0,0.557,2017-06-28,204.13243,120.037,4.0,1.0,2lFtnEmkIPm2ClN55e2chV,64.0
Dierks Bentley,"Woman, Amen",80.25,12,0,,,,,,,,,,,,2018-07-04,,,,,,
Dierks Bentley Featuring Brothers Osborne,Burning Man,85.4,5,0,1577497.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.73,7x8nK0m0cP2ksQf0mjWdPS,238.49333,0.74186,5.0,0.241,-7.221,1.0,0.294,2018-11-28,232.47819,119.073,4.0,0.865,4a1oIihVt6xSnDRpgX387M,73.0
"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,87.25,4,0,,,,,,,,,,,,,,,,,,
Drake,8 Out Of 10,59.333333333333336,3,0,29659672.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,195.72,0.0,2.0,0.339,-7.87,1.0,0.384,2018-07-25,188.8537,170.54,4.0,0.945,0zqy3ss4CwD6u4QPksS0nI,72.0
Drake,Blue Tint,55.0,3,0,29659672.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,162.8,0.0,7.0,0.184,-10.254,0.0,0.604,2018-07-25,143.90567,133.998,4.0,1.0,4n1bdaKwynQndm47x5HqWX,74.0
Drake,Can't Take A Joke,56.0,4,0,29659677.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,163.97433,0.0,10.0,0.862,-7.249,0.0,0.802,2018-08-01,152.18358,173.897,4.0,0.891,1dUHF4RyMmMTveJ0Rby6Xm,76.0
